cif,status,atoms_before,atoms_after,guests_removed,guest_formulas,n_framework_comps
1,clean_already,186,186,0,,1
10,clean_already,106,106,0,,1
1000,clean_already,90,90,0,,1
1001,clean_already,378,378,0,,3
1002,clean_already,168,168,0,,2
1003,clean_already,360,360,0,,3
1004,clean_already,188,188,0,,2
1005,clean_already,74,74,0,,1
1006,clean_already,369,369,0,,3
1007,clean_already,164,164,0,,2
1008,clean_already,351,351,0,,3
1009,clean_already,184,184,0,,2
1010,clean_already,72,72,0,,1
1011,clean_already,90,90,0,,1
1012,clean_already,57,57,0,,1
1013,clean_already,234,234,0,,1
1014,clean_already,196,196,0,,1
1015,clean_already,222,222,0,,1
1016,clean_already,236,236,0,,1
1017,clean_already,188,188,0,,1
1018,clean_already,84,84,0,,1
1019,clean_already,54,54,0,,1
1020,clean_already,222,222,0,,1
1021,clean_already,210,210,0,,1
1022,clean_already,228,228,0,,1
1023,clean_already,188,188,0,,1
1024,clean_already,168,168,0,,2
1025,clean_already,168,168,0,,2
1026,clean_already,436,436,0,,2
1027,clean_already,516,516,0,,2
103,clean_already,1624,1624,0,,2
1030,clean_already,354,354,0,,1
1031,clean_already,114,114,0,,1
1032,clean_already,150,150,0,,1
1033,clean_already,180,180,0,,1
1034,clean_already,264,264,0,,1
1035,clean_already,236,236,0,,1
1036,clean_already,212,212,0,,1
1037,clean_already,150,150,0,,1
1040,clean_already,138,138,0,,1
1041,clean_already,144,144,0,,1
1042,clean_already,144,144,0,,1
1043,clean_already,300,300,0,,2
1044,clean_already,144,144,0,,1
1045,clean_already,104,104,0,,1
1046,clean_already,408,408,0,,2
1049,clean_already,120,120,0,,1
105,clean_already,292,292,0,,1
1050,clean_already,144,144,0,,1
1051,clean_already,288,288,0,,2
1052,clean_already,168,168,0,,1
1055,clean_already,290,290,0,,1
1056,clean_already,290,290,0,,1
1057,clean_already,239,239,0,,1
106,clean_already,292,292,0,,1
1061,clean_already,260,260,0,,1
1062,clean_already,183,183,0,,1
1064,clean_already,75,75,0,,1
1065,clean_already,63,63,0,,1
1066,clean_already,1624,1624,0,,2
107,clean_already,292,292,0,,1
1071,clean_already,156,156,0,,1
1072,clean_already,162,162,0,,1
1073,clean_already,132,132,0,,1
1074,clean_already,264,264,0,,2
1075,clean_already,204,204,0,,2
1076,clean_already,102,102,0,,1
1077,clean_already,150,150,0,,1
1078,clean_already,300,300,0,,2
1079,clean_already,120,120,0,,1
108,clean_already,292,292,0,,1
1080,clean_already,240,240,0,,2
1081,clean_already,114,114,0,,1
1082,clean_already,228,228,0,,2
1083,clean_already,84,84,0,,1
1084,clean_already,168,168,0,,2
1085,clean_already,132,132,0,,1
1086,clean_already,264,264,0,,2
1087,clean_already,102,102,0,,1
1088,clean_already,204,204,0,,2
1089,clean_already,76,76,0,,1
109,clean_already,90,90,0,,1
1090,clean_already,152,152,0,,2
1091,clean_already,87,87,0,,1
1092,clean_already,168,168,0,,2
1093,clean_already,81,81,0,,1
1094,clean_already,162,162,0,,2
1095,clean_already,90,90,0,,1
1096,clean_already,102,102,0,,1
1097,clean_already,84,84,0,,1
1099,clean_already,102,102,0,,1
11,clean_already,212,212,0,,1
110,clean_already,84,84,0,,1
1100,clean_already,108,108,0,,1
1101,clean_already,1384,1384,0,,1
1102,clean_already,3008,3008,0,,2
1103,clean_already,100,100,0,,1
1104,clean_already,96,96,0,,1
1105,clean_already,69,69,0,,1
1106,clean_already,138,138,0,,1
1107,clean_already,210,210,0,,1
1108,clean_already,108,108,0,,1
1109,clean_already,144,144,0,,1
111,clean_already,372,372,0,,1
1110,clean_already,294,294,0,,2
1111,clean_already,78,78,0,,1
1112,clean_already,96,96,0,,1
1114,clean_already,150,150,0,,1
1115,clean_already,300,300,0,,2
1116,clean_already,288,288,0,,1
1117,clean_already,114,114,0,,1
1118,clean_already,228,228,0,,2
1119,clean_already,436,436,0,,1
112,clean_already,212,212,0,,2
1120,clean_already,968,968,0,,1
1122,clean_already,168,168,0,,1
1123,clean_already,150,150,0,,1
1125,clean_already,148,148,0,,1
1126,clean_already,196,196,0,,1
1127,clean_already,392,392,0,,2
1128,clean_already,162,162,0,,1
1129,clean_already,144,144,0,,1
1130,clean_already,90,90,0,,1
1131,clean_already,300,300,0,,1
1132,clean_already,102,102,0,,1
1133,clean_already,216,216,0,,1
1134,clean_already,90,90,0,,1
1135,clean_already,96,96,0,,1
1136,clean_already,118,118,0,,1
1137,clean_already,134,134,0,,1
1144,clean_already,318,318,0,,2
1145,clean_already,318,318,0,,2
1146,clean_already,477,477,0,,3
1147,clean_already,352,352,0,,2
1148,clean_already,354,354,0,,2
1149,clean_already,531,531,0,,3
1150,clean_already,436,436,0,,1
1151,clean_already,218,218,0,,1
1152,clean_already,448,448,0,,1
1153,clean_already,226,226,0,,1
1154,clean_already,436,436,0,,1
1155,clean_already,226,226,0,,1
1156,clean_already,436,436,0,,1
1157,clean_already,156,156,0,,1
1158,clean_already,96,96,0,,1
1159,clean_already,210,210,0,,1
1160,clean_already,180,180,0,,1
1161,clean_already,222,222,0,,1
1162,clean_already,188,188,0,,1
1163,clean_already,79,79,0,,1
1164,clean_already,76,76,0,,1
1165,clean_already,94,94,0,,1
1167,clean_already,96,96,0,,1
1168,clean_already,192,192,0,,2
1169,clean_already,108,108,0,,1
1170,clean_already,216,216,0,,2
1171,clean_already,220,220,0,,1
1172,clean_already,236,236,0,,1
1173,clean_already,228,228,0,,1
1174,clean_already,220,220,0,,1
1175,clean_already,94,94,0,,1
1176,clean_already,324,324,0,,1
1178,clean_already,338,338,0,,1
1179,clean_already,394,394,0,,1
118,clean_already,126,126,0,,1
1180,guests_removed,658,378,280,28xC3H6O1,1
1184,clean_already,104,104,0,,1
1185,clean_already,96,96,0,,1
