cif_file,normal_atoms,normal_formula,norm_duplicate,min_atoms,min_formula,min_duplicate
BELYIC.cif,33,C8 H16 Mg1 O8,no,N/A,N/A,no
DIWNAA.cif,89,C42 H28 Mg1 O18,no,71,C33 H26 Mg1 O11,no
DAFYAN.cif,136,C48 H36 Mg3 O49,no,121,C43 H36 Mg3 O39,no
DUWRAQ.cif,82,C12 H22 Mg4 O40 P4,no,44,C6 H15 Mg2 O18 P3,no
DIHHIP.cif,276,C132 H92 Mg4 O48,no,95,C43 H36 Mg2 O14,no
DUWRUK.cif,31,C4 H8 Mg1 O16 P2,no,N/A,N/A,no
DUWROE.cif,50,C8 H14 Mg2 O24 P2,no,N/A,N/A,no
BAKYOE.cif,103,C32 H38 Mg1 N10 O22,no,92,C29 H40 Mg1 N10 O12,no
DUWSAR.cif,23,C4 H5 Mg1 O12 P1,no,N/A,N/A,no
AVIPAX.cif,220,C84 H72 Mg4 N12 O48,no,108,C42 H43 Mg2 N7 O14,no
DUWTAS.cif,33,C2 H11 Mg1 O16 P3,no,N/A,N/A,no
DAJWET.cif,556,C288 H192 Mg3 N24 O49,no,171,C83 H62 Mg3 N4 O19,no
DOQCUK.cif,93,C36 H36 Mg1 O20,no,78,C31 H32 Mg1 O14,no
EZEQIL.cif,119,C48 H46 Mg1 N4 O20,no,90,C36 H39 Mg1 N3 O11,no
EZEQEH.cif,123,C52 H46 Mg1 N4 O20,no,101,C43 H43 Mg1 N3 O11,no
EZEQOR.cif,123,C52 H46 Mg1 N4 O20,yes,101,C43 H43 Mg1 N3 O11,yes
EZEQUX.cif,123,C52 H46 Mg1 N4 O20,yes,101,C43 H43 Mg1 N3 O11,yes
EQERAU.cif,394,C168 H156 Mg4 O58 P8,no,177,C68 H76 Mg4 O21 P8,no
HAFVUH.cif,155,C64 H56 Mg1 O34,no,94,C37 H40 Mg1 O16,no
GIFSOG.cif,158,C81 H58 Mg1 O18,no,84,C41 H32 Mg1 O10,no
HOQMIL.cif,123,C52 H46 Mg1 N4 O20,yes,101,C43 H43 Mg1 N3 O11,yes
HOQMUX.cif,119,C48 H46 Mg1 N4 O20,yes,59,C19 H25 Mg1 N3 O11,no
EBIMOT.cif,315,C136 H112 Mg3 O64,no,155,C66 H64 Mg3 O22,no
HOQNEI.cif,123,C52 H46 Mg1 N4 O20,yes,101,C43 H43 Mg1 N3 O11,yes
ILECIN.cif,31,C6 H12 Mg1 O12,no,N/A,N/A,no
JIRHAW.cif,151,C54 H48 Mg1 N42 O6,no,75,C24 H28 Mg1 N20 O2,no
LOTSUL.cif,73,C28 H24 Mg1 O20,no,67,C26 H24 Mg1 O16,no
LIQHAX.cif,161,C76 H60 Mg1 N8 O16,no,87,C40 H34 Mg1 N2 O10,no
KAPRIG.cif,323,C176 H112 Mg1 O34,no,134,C65 H52 Mg1 O16,no
