cif_file,normal_atoms,normal_formula,norm_duplicate,min_atoms,min_formula,min_duplicate
CIRSEF.cif,940,C476 H388 N8 O64 Zn4,no,204,C98 H85 N3 O16 Zn2,no
CIRSAB.cif,940,C476 H388 N8 O64 Zn4,yes,204,C98 H85 N3 O16 Zn2,yes
EFESEP.cif,833,C384 H330 O114 Zn5,no,297,C138 H112 O42 Zn5,no
QUSBIP.cif,737,C360 H276 N24 O73 Zn4,no,206,C95 H75 N9 O23 Zn4,no
RUMWUS.cif,685,C297 H276 O108 Zn4,no,139,C61 H52 O24 Zn2,no
ZEYRED.cif,649,C288 H264 O96 Zn1,no,204,C88 H84 O31 Zn1,no
RUNXUV.cif,631,C272 H276 N16 O64 Zn3,no,182,C83 H72 N2 O22 Zn3,no
IHABAW.cif,569,C288 H204 N24 O49 Zn4,no,168,C83 H58 N4 O19 Zn4,no
FIZPUB.cif,566,C288 H178 O96 Zn4,no,137,C69 H44 O22 Zn2,no
ZEJFAY.cif,566,C264 H190 N12 O96 Zn4,no,137,C65 H46 N2 O22 Zn2,no
CAQPUI.cif,564,C300 H212 O48 Zn4,no,139,C71 H52 O14 Zn2,no
CIYHOK.cif,557,C246 H270 N12 O26 Zn3,no,165,C76 H68 N2 O16 Zn3,no
YONNUL.cif,534,C238 H212 N8 O72 Zn4,no,143,C64 H54 N2 O21 Zn2,no
GUVBOQ.cif,525,C243 H170 O109 Zn3,no,195,C83 H64 O45 Zn3,no
ETIXIQ.cif,510,C290 H180 N8 O28 Zn4,no,213,C123 H77 N3 O8 Zn2,no
NUFBOH.cif,506,C220 H160 O122 Zn4,no,146,C69 H52 O23 Zn2,no
JENKIX.cif,501,C270 H190 O38 Zn3,no,161,C80 H60 O18 Zn3,no
HUQHIM.cif,498,C256 H188 N12 O38 Zn4,no,146,C72 H56 N2 O14 Zn2,yes
HUQHOS.cif,490,C254 H186 N10 O36 Zn4,no,148,C72 H58 N2 O14 Zn2,no
ABINIM.cif,488,C264 H172 O48 Zn4,no,125,C65 H44 O14 Zn2,no
FOMWOV.cif,468,C240 H112 N16 O96 Zn4,no,124,C58 H38 N6 O20 Zn2,no
ZEXTEF.cif,458,C216 H180 N56 O2 Zn4,yes,105,C42 H43 N17 O1 Zn2,yes
BOXBAT.cif,454,C216 H176 N56 O2 Zn4,no,103,C42 H41 N17 O1 Zn2,no
CESQUP.cif,454,C210 H160 O70 P10 Zn4,no,127,C54 H50 O15 P6 Zn2,no
PURJES.cif,454,C198 H180 O72 Zn4,yes,123,C54 H46 O21 Zn2,yes
PIBPAS.cif,454,C218 H149 N27 O57 Zn3,no,174,C82 H61 N3 O25 Zn3,no
PURJIW.cif,454,C198 H180 O72 Zn4,yes,123,C54 H46 O21 Zn2,yes
CAWVIH.cif,453,C234 H172 N6 O38 Zn3,no,153,C74 H57 N1 O18 Zn3,no
KEDQAN.cif,453,C234 H172 N6 O38 Zn3,yes,153,C74 H57 N1 O18 Zn3,yes
PIDMEV.cif,448,C210 H164 N10 O60 Zn4,no,130,C56 H50 N6 O16 Zn2,no
GAWMOJ.cif,446,C198 H172 O72 Zn4,no,121,C54 H44 O21 Zn2,no
LITDAV.cif,446,C204 H166 O72 Zn4,no,117,C55 H42 O18 Zn2,no
WUPZOY.cif,436,C192 H144 O96 Zn4,no,112,C52 H38 O20 Zn2,no
YAVZUT.cif,432,C180 H188 O60 Zn4,yes,115,C51 H46 O16 Zn2,no
KAWHEY.cif,424,C198 H132 N54 O37 Zn3,no,154,C68 H52 N14 O17 Zn3,no
CIRFIW.cif,420,C211 H162 N8 O35 Zn4,no,107,C52 H40 N2 O11 Zn2,no
JUCGUL.cif,416,C216 H156 N8 O32 Zn4,no,131,C65 H48 N2 O14 Zn2,no
CIRDIU.cif,413,C211 H162 N8 O28 Zn4,no,106,C52 H40 N2 O10 Zn2,no
CIRCOZ.cif,413,C211 H162 N8 O28 Zn4,yes,106,C52 H40 N2 O10 Zn2,yes
CIRDUG.cif,413,C211 H162 N8 O28 Zn4,yes,106,C52 H40 N2 O10 Zn2,yes
CIRFAO.cif,413,C211 H162 N8 O28 Zn4,yes,106,C52 H40 N2 O10 Zn2,yes
