cif_file,refcode,low_coordination_environments
ABINIM.cif,ABINIM,CN=1 [O1]
ADASOP.cif,ADASOP,CN=1 [O1]
ADECEU.cif,ADECEU,CN=1 [N1]; CN=1 [O1]
ADUROI.cif,ADUROI,CN=1 [N1]; CN=1 [O1]; CN=3 [N1O2]
AFAFEW.cif,AFAFEW,CN=1 [N1]; CN=1 [O1]
AFEGIE.cif,AFEGIE,CN=1 [O1]; CN=3 [O3]
AFITEP.cif,AFITEP,CN=1 [N1]; CN=1 [O1]
AMILOY.cif,AMILOY,CN=1 [N1]; CN=1 [O1]
AMILUE.cif,AMILUE,CN=1 [N1]; CN=1 [O1]
AMIMAL.cif,AMIMAL,CN=1 [N1]; CN=1 [O1]
AMOYOR.cif,AMOYOR,CN=1 [N1]; CN=1 [O1]
AMUPOP.cif,AMUPOP,CN=1 [N1]; CN=1 [O1]
APUVIS.cif,APUVIS,CN=1 [N1]; CN=1 [O1]
AQAJEI.cif,AQAJEI,CN=1 [N1]; CN=1 [O1]
AQEQIW.cif,AQEQIW,CN=1 [O1]
AROHOH.cif,AROHOH,CN=1 [O1]
ASINAT.cif,ASINAT,CN=1 [N1]; CN=1 [O1]
ASUJIJ.cif,ASUJIJ,CN=1 [N1]; CN=1 [O1]
ASUWUI.cif,ASUWUI,CN=1 [N1]; CN=1 [O1]; CN=3 [N2O1]
ATOWIQ.cif,ATOWIQ,CN=1 [O1]
ATOWOW.cif,ATOWOW,CN=1 [O1]
ATOWUE.cif,ATOWUE,CN=1 [O1]; CN=3 [N1O2]
ATULIM.cif,ATULIM,CN=1 [O1]; CN=3 [N1O2]
AVAYEE.cif,AVAYEE,CN=1 [N1]
AVEQID.cif,AVEQID,CN=1 [O1]; CN=3 [O3]
AVESOL.cif,AVESOL,CN=1 [O1]
AVETAY.cif,AVETAY,CN=1 [O1]; CN=3 [O3]
AVIMIC.cif,AVIMIC,CN=1 [O1]
AVIMOI.cif,AVIMOI,CN=1 [O1]; CN=3 [O3]
AWAJIT.cif,AWAJIT,CN=1 [N1]; CN=1 [O1]
AWEDOW.cif,AWEDOW,CN=1 [N1]; CN=3 [N1O2]
AWEDUC.cif,AWEDUC,CN=1 [N1]
AZIXUD.cif,AZIXUD,CN=1 [O1]; CN=3 [O3]
AZOHEC.cif,AZOHEC,CN=1 [N1]; CN=1 [O1]
BAFVOX.cif,BAFVOX,CN=1 [N1]; CN=1 [O1]
BARZAW.cif,BARZAW,CN=1 [O1]
BAVSOJ.cif,BAVSOJ,CN=1 [O1]; CN=3 [N1O2]
BAYREB.cif,BAYREB,CN=1 [N1]; CN=1 [O1]; CN=3 [N1O2]
BECSUA.cif,BECSUA,CN=1 [N1]; CN=1 [O1]
BECTAH.cif,BECTAH,CN=1 [O1]
BENXUP.cif,BENXUP,CN=1 [N1]; CN=1 [O1]
BEPLUF.cif,BEPLUF,CN=1 [N1]; CN=1 [O1]
BEPMAM.cif,BEPMAM,CN=1 [N1]; CN=1 [O1]
BEPMIU.cif,BEPMIU,CN=1 [O1]
BEPNIV.cif,BEPNIV,CN=1 [O1]
BEPNOB.cif,BEPNOB,CN=1 [N1]; CN=1 [O1]
BEPNUH.cif,BEPNUH,CN=1 [N1]; CN=1 [O1]
BEPPAP.cif,BEPPAP,CN=1 [N1]; CN=1 [O1]
BEPPIX.cif,BEPPIX,CN=1 [O1]
BEPPOD.cif,BEPPOD,CN=1 [N1]; CN=1 [O1]
BIBBUL.cif,BIBBUL,CN=1 [N1]; CN=1 [O1]
BIBQOV.cif,BIBQOV,CN=1 [O1]; CN=3 [O3]
BICKIL.cif,BICKIL,CN=1 [N1]
BIGWOG.cif,BIGWOG,CN=1 [O1]; CN=3 [O3]
BINRUN.cif,BINRUN,CN=1 [O1]
BOCLAJ.cif,BOCLAJ,CN=1 [O1]
BOFCEG.cif,BOFCEG,CN=1 [N1]; CN=1 [O1]
BOMCOX.cif,BOMCOX,CN=1 [N1]; CN=1 [O1]
BONWIL.cif,BONWIL,CN=1 [O1]
BORLEC.cif,BORLEC,CN=1 [N1]; CN=1 [O1]; CN=3 [N1O2]
BOWQAG.cif,BOWQAG,CN=1 [N1]
BOWZUK.cif,BOWZUK,CN=1 [N1]; CN=3 [N3]
BOXBAT.cif,BOXBAT,CN=1 [N1]
BOYLIN.cif,BOYLIN,CN=1 [N1]; CN=1 [O1]; CN=3 [N2O1]
BOZFIH.cif,BOZFIH,CN=1 [N1]; CN=1 [O1]
BUCXUT.cif,BUCXUT,CN=1 [N1]; CN=1 [S1]
BUKMUQ.cif,BUKMUQ,CN=1 [N1]; CN=1 [O1]; CN=3 [N1O2]
BUQROX.cif,BUQROX,CN=1 [N1]; CN=1 [O1]
BUQRUD.cif,BUQRUD,CN=1 [N1]; CN=1 [O1]
BUQSAK.cif,BUQSAK,CN=1 [N1]; CN=1 [O1]
BUQSIS.cif,BUQSIS,CN=1 [N1]; CN=1 [O1]
